CLAIM,EXACT_VALUE,EVIDENCE,SCRIPT,DATASET,COMMIT,STATUS,PAPER_WORDING
STIX 2.1 Bundle Generation Latency,1.022 ms,Mean benchmark over 100 iterations (median: 0.970 ms),experiments/run_publication_validation.py,publication_validation/latency_results.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Enriched STIX 2.1 bundle construction executed in an average of 1.022 ms."
Playbook Markdown Rendering Latency,1.098 ms,Mean benchmark over 100 iterations (median: 0.348 ms),experiments/run_publication_validation.py,publication_validation/latency_results.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Jinja2 response playbook rendering completed in an average of 1.098 ms."
Event Ingestion Throughput,3225 events/sec,Locust stress test under 500 concurrent client connections,Research Paper Table VIII,paper_text.txt,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"The platform sustains a maximum ingestion throughput of 3,225 events per second."
REST API Query Latency (P95),50.00 ms,Locust load test 95th percentile response time,Research Paper Table VIII,paper_text.txt,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"REST API endpoints maintained a P95 response latency of 50.00 ms under heavy concurrent load."
MITRE ATT&CK Technique Coverage,12 signatures / 10 techniques,Deterministic mapping of 12 signatures across 8 tactics,backend/sentinel/mitre_mapper.py,sentinel/mitre_mapper.py,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"The Sentinel layer maps 12 distinct attack signatures to 10 MITRE ATT&CK techniques across 8 tactical stages."
Operational Feature Count,15 runtime features,FeatureExtractor class definition,backend/ml/feature_extractor.py,backend/ml/feature_extractor.py,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Real-time honeypot interactions are transformed into a 15-dimensional domain feature vector."
Supervised Evaluation Feature Count,13 benchmark features,Dropping x5 (threat_score) and x6 (malicious_flag_ratio),backend/scripts/unified_evaluation.py,labeled_events_15d_unified.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"For supervised evaluation, two historical feedback features were excluded, evaluating 13 leak-free dimensions."
Software Regression Test Suite,4181 / 4181 tests passing,Comprehensive pytest execution (100% pass, 0 failures),docs/post_fix_regression_test_week22_day4.md,pytest.ini,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,GREEN,"Software robustness was confirmed across a suite of 4,181 automated tests achieving a 100% pass rate."
Host Behavioral Ablation Accuracy,86.70%,Evaluation of RF on 8-feature host-command dataset,experiments/run_publication_validation.py,labeled_events_v2_enhanced.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,YELLOW,"In an auxiliary host-command ablation study with static artifacts removed, Random Forest achieved 86.70% accuracy."
Operational Real-Time LSTM Inference,N/A (Scaffolded),LSTM model is an offline architectural prototype,backend/ml_engine/lstm_model.py,ml_models/lstm_attack_predictor.h5,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,RED,"DO NOT CLAIM OPERATIONAL LSTM INFERENCE. Describe as offline prototype."
100% Accuracy / Zero False Positives,100.0%,Artifact of static synthetic strings in early testbeds,experiments/run_publication_validation.py,labeled_events_v2_enhanced.csv,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,RED,"DO NOT CLAIM 100% ACCURACY. Use 96.90% empirical test accuracy."
23-Dimensional Feature Representation,23 features,Conceptual design number from early READMEs,docs/FEATURE_EXTRACTION_SPEC_FINAL.md,README.md,94a08f750dcefc047e8ff6a3a95f4e20136e49ed,RED,"DO NOT CLAIM 23 FEATURES. Standardize strictly on 15 runtime (13 evaluated) features."
